Группа,Преподаватель,Подгруппа,Дисциплина,Кабинет,Время,Дата
СС25-3,Машер В.В.,1.2,"МДК.01.02 Организация, принципы построения и функционирования компьютерных сетей",207,10.55-11.40 12.05-12.50,27.04.2026
СС25-3,Панфилова О.Л.,1.2,БД.02 Литература,125,13.05-13.50 14.00-14.45,27.04.2026
ТОд23-1,Григораш А.В.,1.2,Разговоры о важном,150,08.00 - 08.35,27.04.2026
ТОд23-1,Пуртова А.В.,1.2,ОГСЭ.01 Основы философии,240,8.45-9.30 9.50-10.35,27.04.2026
ТОд23-1,Васькина Н.И.,1.2,ОП.07 Правовое обеспечение профессиональной деятельности,библ,10.55-11.40 12.05-12.50,27.04.2026
ТОд23-1,Бурундуков Е.В.,1.2,ОП.16 Основы законодательства в сфере дорожного движения,139,13.05-13.50 14.00-14.45,27.04.2026
Э25-6,Русских Ю.В.,1.2,Разговоры о важном,242,08.00 - 08.35,27.04.2026
Э25-6,Шмелёва А.В.,1.2,ПД.02 Математика,247,8.45-9.30 9.50-10.35,27.04.2026
Э25-6,Седякина Д.Ю.,1.2,ПД.01 Иностранный язык,117,10.55-11.40 12.05-12.50,27.04.2026
Э25-6,Дьячкова Е.Р.,1.2,МДК.01.01 Практические основы бухгалтерского учета активов организации и источников их формирования,245,13.05-13.50 14.00-14.45,27.04.2026
ЭСХ23-4,Шошин Н.А.,1.2,Разговоры о важном,с/з,08.00 - 08.35,27.04.2026
ЭСХ23-4,Кузнецов Н.В.,1.2,МДК.02.04 Организация производства и управление на сельскохозяйственном предприятии,202,8.45-9.30 9.50-10.35,27.04.2026
ЭСХ23-4,Азиатцев Е.С.,1,"УП.02.01 Учебная практика ""Ремонт сельскохозяйственной техники и оборудования""",№15 гараж,10.55-11.40 12.05-12.50,27.04.2026
ЭСХ23-4,Азиатцев Е.С.,2,"УП.02.01 Учебная практика ""Ремонт сельскохозяйственной техники и оборудования""",№15 гараж,10.55-11.40 12.05-12.50,27.04.2026
ЭСХ23-4,Азиатцев Е.С.,1,"УП.02.01 Учебная практика ""Ремонт сельскохозяйственной техники и оборудования""",№15 гараж,13.05-13.50 14.00-14.45,27.04.2026
ЭСХ23-4,Азиатцев Е.С.,2,"УП.02.01 Учебная практика ""Ремонт сельскохозяйственной техники и оборудования""",№15 гараж,13.05-13.50 14.00-14.45,27.04.2026
ЭСХ25-5,Бабкина Е.И.,1.2,Разговоры о важном,библ,08.00 - 08.35,27.04.2026
ЭСХ25-5,Васькина Н.И.,1.2,ОПЦ.13 Правовые основы профессиональной деятельности и охрана труда,239,8.45-9.30 9.50-10.35,27.04.2026
ЭСХ25-5,Шошин Н.А.,1.2,БД.08 Физическая культура,с/з,10.55-11.40 12.05-12.50,27.04.2026
ЭСХ25-5,Вахрамеева С.Н.,1.2,ПД.02 Физика,206,13.05-13.50 14.00-14.45,27.04.2026
