Группа,Преподаватель,Подгруппа,Дисциплина,Кабинет,Время,Дата
2473,Пилипук Г.А.,2,"УП.02.01 Учебная практика ""Выполнение механизированных работ в сельскохозяйственном производстве с поддержанием технического состояния средств механизации""",№11 гараж,10.00-10.45 11.05-11.50,28.04.2026
2473,Пилипук Г.А.,1,"УП.02.01 Учебная практика ""Выполнение механизированных работ в сельскохозяйственном производстве с поддержанием технического состояния средств механизации""",№11 гараж,12.15-13.00 13.15-14.00,28.04.2026
2473,Пилипук Г.А.,2,"УП.02.01 Учебная практика ""Выполнение механизированных работ в сельскохозяйственном производстве с поддержанием технического состояния средств механизации""",№11 гараж,12.15-13.00 13.15-14.00,28.04.2026
2474,Косичкин Т.В.,1.2,Консультация МДК.03.01 Техника и технология частично механизированной сварки (наплавки) плавлением в защитном газе,ЭО,14.55-15.40 15.50-16.35,28.04.2026
2474,Косичкин Т.В.,1.2,Экзамен МДК.03.01 Техника и технология частично механизированной сварки (наплавки) плавлением в защитном газе,ЭО,8.00-8.45 8.55-9.40,28.04.2026
2474,Косичкин Т.В.,1.2,Экзамен МДК.03.01 Техника и технология частично механизированной сварки (наплавки) плавлением в защитном газе,ЭО,10.00-10.45 11.05-11.50,28.04.2026
2474,Косичкин Т.В.,1.2,Экзамен МДК.03.01 Техника и технология частично механизированной сварки (наплавки) плавлением в защитном газе,ЭО,12.15-13.00 13.15-14.00,28.04.2026
2475,Вострецова Н.В.,1.2,СГ.03 Безопасность жизнедеятельности,112,14.55-15.40 15.50-16.35,28.04.2026
2475,Машер В.В.,1.2,"УП.02.01 Учебная практика ""Настройка и обеспечение работоспособности программных и аппаратных средств устройств инфокоммуникационных систем""",207,8.00-8.45 8.55-9.40,28.04.2026
2475,Машер В.В.,1.2,"УП.02.01 Учебная практика ""Настройка и обеспечение работоспособности программных и аппаратных средств устройств инфокоммуникационных систем""",207,10.00-10.45 11.05-11.50,28.04.2026
2475,Машер В.В.,1.2,"УП.02.01 Учебная практика ""Настройка и обеспечение работоспособности программных и аппаратных средств устройств инфокоммуникационных систем""",207,12.15-13.00 13.15-14.00,28.04.2026
2476,Пилипук В.А.,1.2,МДК.03.02 Ремонт автомобилей,гараж,8.00-8.45 8.55-9.40,28.04.2026
2476,Пилипук В.А.,1,"УП.03.01 Учебная практика ""Текущий ремонт различных типов автомобилей""""",гараж,10.00-10.45 11.05-11.50,28.04.2026
2476,Пилипук В.А.,2,"УП.03.01 Учебная практика ""Текущий ремонт различных типов автомобилей""""",гараж,10.00-10.45 11.05-11.50,28.04.2026
2476,Пилипук В.А.,1,"УП.03.01 Учебная практика ""Текущий ремонт различных типов автомобилей""""",гараж,12.15-13.00 13.15-14.00,28.04.2026
2476,Пилипук В.А.,2,"УП.03.01 Учебная практика ""Текущий ремонт различных типов автомобилей""""",гараж,12.15-13.00 13.15-14.00,28.04.2026
2476,Пилипук В.А.,1,"УП.03.01 Учебная практика ""Текущий ремонт различных типов автомобилей""""",№2 гараж,14.10-14.55 15.05-15.50,28.04.2026
2476,Пилипук В.А.,2,"УП.03.01 Учебная практика ""Текущий ремонт различных типов автомобилей""""",№2 гараж,14.10-14.55 15.05-15.50,28.04.2026
2577,Богданов М.В.,1.2,ОДП.13 Химия,203,8.00-8.45 8.55-9.40,28.04.2026
2577,Вахрамеева С.Н.,1.2,ОДП.12 Физика,206,10.00-10.45 11.05-11.50,28.04.2026
2577,Седякина Д.Ю.,1.2,ОДБ.06 Иностранный язык,239,12.15-13.00 13.15-14.00,28.04.2026
2577,Шмелёва А.В.,1.2,ОДП.11 Математика,206,14.10-14.55 15.05-15.50,28.04.2026
2578,Волчихин К.А.,1.2,ОДБ.07 Физическая культура,с/з,8.00-8.45 8.55-9.40,28.04.2026
2578,Шмелёва А.В.,1.2,ОДП.11 Математика,239,10.00-10.45 11.05-11.50,28.04.2026
2578,Вахрамеева С.Н.,1.2,ОДП.13 Физика,206,12.15-13.00 13.15-14.00,28.04.2026
2578,Тропина Н.Ю.,1.2,ОДБ.01 Русский язык,247,14.10-14.55 15.05-15.50,28.04.2026
2579,Начметдинов Р.О.,1.2,ПОО.01 Основы проектной деятельности,117,14.55-15.40 15.50-16.35,28.04.2026
2579,Вахрамеева С.Н.,1.2,ОДП.13 Физика,206,8.00-8.45 8.55-9.40,28.04.2026
2579,Коробова Ю.А.,1.2,СГ.05 Основы финансовой грамотности,245,10.00-10.45 11.05-11.50,28.04.2026
2579,Абакумов А.В.,1.2,МДК.01.03 Подготовительные и сборочные операции перед сваркой,105,12.15-13.00 13.15-14.00,28.04.2026
2579,Деньгуб А.А.,1.2,ОДП.11 Математика,135,14.10-14.55 15.05-15.50,28.04.2026
2580,Вахрамеева С.Н.,1.2,ОДП.13 Физика,206,14.55-15.40 15.50-16.35,28.04.2026
2580,Деньгуб А.А.,1.2,ОДП.11 Математика,135,12.15-13.00 13.15-14.00,28.04.2026
2580,Начметдинов Р.О.,1.2,ПОО.01 Основы проектной деятельности,117,14.10-14.55 15.05-15.50,28.04.2026
2580,Чернецов А.В.,1.2,ОДБ.09 Биология,203,16.10-16.55 17.15-18.00,28.04.2026
2581,Шмелёва А.В.,1.2,ОДП.11 Математика,240,8.00-8.45 8.55-9.40,28.04.2026
2581,Волчихин К.А.,1.2,ОДБ.08 Физическая культура,с/з,10.00-10.45 11.05-11.50,28.04.2026
2581,Бурундуков Е.В.,1.2,ОДП.13 Биология,122,12.15-13.00 13.15-14.00,28.04.2026
2581,Бакланова Е.В.,1.2,ОП.05 Основы агрономии,122,14.10-14.55 15.05-15.50,28.04.2026
2582,Деньгуб А.А.,1.2,ОДП.02 Математика,135,14.55-15.40 15.50-16.35,28.04.2026
2582,Богданов М.В.,1.2,ОДП.03 Химия,203,10.00-10.45 11.05-11.50,28.04.2026
2582,Мещерякова Д.М.,1.2,Консультация ОПЦ.05 Основы калькуляции и учета,121,12.15-13.00 13.15-14.00,28.04.2026
2583,Проломова Е.Н.,1.2,ОП.01 Деловая культура,ЭО,14.55-15.40 15.50-16.35,28.04.2026
2583,Панфилова О.Л.,1.2,ОДП.01 Литература,ЭО,8.00-8.45 8.55-9.40,28.04.2026
2583,Васькина Н.И.,1.2,МДК.01.01 Организация документооборота и документирование управленческой деятельности,ЭО,10.00-10.45 11.05-11.50,28.04.2026
2583,Зылёва Я.Ф.,1.2,МДК.01.02 Информационно-коммуникационные технологии в делопроизводстве,ЭО,12.15-13.00 13.15-14.00,28.04.2026
2583,Богданов М.В.,1.2,Консультация ОДБ.10 Химия,ЭО,14.10-14.55 15.05-15.50,28.04.2026
А24-1,Коробова Ю.А.,1.2,МДК.01.04 Управление структурным подразделением сельскохозяйственной организации,140а,8.00-8.45 8.55-9.40,29.04.2026
А24-1,Коробова Ю.А.,1.2,МДК.01.04 Управление структурным подразделением сельскохозяйственной организации,140а,10.00-10.45 11.05-11.50,29.04.2026
А24-1,Волчихин К.А.,1.2,ОГСЭ.04 Физическая культура,с/з,12.15-13.00 13.15-14.00,29.04.2026
Д24-5,Григораш А.В.,1.2,БД.04 География,150,10.00-10.45 11.05-11.50,29.04.2026
Д24-5,Шошин Н.А.,1.2,СГ.04 Физическая культура,с/з,12.15-13.00 13.15-14.00,29.04.2026
Д24-5,Зылёва Я.Ф.,1.2,МДК.01.04 Документационное обеспечение кадровой службы,136,14.10-14.55 15.05-15.50,29.04.2026
ДО22-5,Бабкина М.В.,1.2,ПДП ПРОИЗВОДСТВЕННАЯ ПРАКТИКА (ПРЕДДИПЛОМНАЯ),,8.00-8.45 8.55-9.40,29.04.2026
ДО22-5,Бабкина М.В.,1.2,ПДП ПРОИЗВОДСТВЕННАЯ ПРАКТИКА (ПРЕДДИПЛОМНАЯ),,10.00-10.45 11.05-11.50,29.04.2026
ДО22-5,Бабкина М.В.,1.2,ПДП ПРОИЗВОДСТВЕННАЯ ПРАКТИКА (ПРЕДДИПЛОМНАЯ),,12.15-13.00 13.15-14.00,29.04.2026
ДО24-6,Григораш А.В.,1.2,БД.04 География,150,8.00-8.45 8.55-9.40,29.04.2026
ДО24-6,Мартемьянова С.В.,1.2,ОПЦ.05 Проектная и исследовательская деятельность в профессиональной сфере,250,10.00-10.45 11.05-11.50,29.04.2026
ДО24-6,Бурундуков Е.В.,1.2,ПД.13 Биология,122,12.15-13.00 13.15-14.00,29.04.2026
ДО24-6,Бурундуков Е.В.,1.2,ПД.13 Биология,122,14.10-14.55 15.05-15.50,29.04.2026
ПКД22-3,Улыбина Н.Г.,1.2,ПДП ПРОИЗВОДСТВЕННАЯ ПРАКТИКА (ПРЕДДИПЛОМНАЯ),,8.00-8.45 8.55-9.40,29.04.2026
ПКД22-3,Улыбина Н.Г.,1.2,ПДП ПРОИЗВОДСТВЕННАЯ ПРАКТИКА (ПРЕДДИПЛОМНАЯ),,10.00-10.45 11.05-11.50,29.04.2026
ПКД22-3,Улыбина Н.Г.,1.2,ПДП ПРОИЗВОДСТВЕННАЯ ПРАКТИКА (ПРЕДДИПЛОМНАЯ),,12.15-13.00 13.15-14.00,29.04.2026
ПКД24-4,Полякова М.В.,1.2,БД.03 История,250а,8.00-8.45 8.55-9.40,29.04.2026
ПКД24-4,Полякова М.В.,1.2,БД.03 История,250а,10.00-10.45 11.05-11.50,29.04.2026
ПКД24-4,Коробова Ю.А.,1.2,"ОП.05 Основы экономики, менеджмента и маркетинга",245,12.15-13.00 13.15-14.00,29.04.2026
ПКД24-4,Григораш А.В.,1.2,БД.05 География,150,14.10-14.55 15.05-15.50,29.04.2026
ПП24-15,Ефимов А.Н.,1.2,"УП.01 Учебная практика ""Выполнение каменных работ""",102,8.00-8.45 8.55-9.40,29.04.2026
ПП24-15,Ефимов А.Н.,1.2,"УП.01 Учебная практика ""Выполнение каменных работ""",102,10.00-10.45 11.05-11.50,29.04.2026
ПП24-15,Ефимов А.Н.,1.2,"УП.01 Учебная практика ""Выполнение каменных работ""",102,12.15-13.00 13.15-14.00,29.04.2026
ПП24-16,Шошин Н.А.,1.2,ОП.08 Физическая культура,с/з,8.00-8.45 8.55-9.40,29.04.2026
ПП24-16,Вострецова Н.В.,1.2,ОП.07 Безопасность жизнедеятельности,112,10.00-10.45 11.05-11.50,29.04.2026
ПП24-16,Вострецова Н.В.,1.2,ОП.07 Безопасность жизнедеятельности,112,12.15-13.00 13.15-14.00,29.04.2026
ПП25-17,Богданова О.А.,1.2,АДП.01 Коммуникативный практикум,библ,8.00-8.45 8.55-9.40,29.04.2026
ПП25-17,Григораш С.В.,1.2,ОП.03 Электротехника,104,10.00-10.45 11.05-11.50,29.04.2026
ПП25-17,Абакумов А.В.,1.2,ОП.01 Чтение чертежей,104а,12.15-13.00 13.15-14.00,29.04.2026
ПП25-18,Григораш С.В.,1.2,ОП.03 Основы электротехники,104,8.00-8.45 8.55-9.40,29.04.2026
ПП25-18,Шошин Н.А.,1.2,ОП.06 Физическая культура (адаптивная),с/з,10.00-10.45 11.05-11.50,29.04.2026
ПП25-18,Григораш С.В.,1.2,ОП.03 Основы электротехники,104,12.15-13.00 13.15-14.00,29.04.2026
ПП25-18,Григораш С.В.,1.2,ОП.03 Основы электротехники,104,14.10-14.55 15.05-15.50,29.04.2026
С23-3,Русских Ю.В.,1.2,ПДП. ПРОИЗВОДСТВЕННАЯ ПРАКТИКА (ПРЕДДИПЛОМНАЯ),,8.00-8.45 8.55-9.40,29.04.2026
С23-3,Русских Ю.В.,1.2,ПДП. ПРОИЗВОДСТВЕННАЯ ПРАКТИКА (ПРЕДДИПЛОМНАЯ),,10.00-10.45 11.05-11.50,29.04.2026
С23-3,Русских Ю.В.,1.2,ПДП. ПРОИЗВОДСТВЕННАЯ ПРАКТИКА (ПРЕДДИПЛОМНАЯ),,12.15-13.00 13.15-14.00,29.04.2026
СС25-3,Тропина Н.Ю.,1.2,БД.01 Русский язык,247,8.00-8.45 8.55-9.40,29.04.2026
СС25-3,Панфилова О.Л.,1.2,БД.02 Литература,125,10.00-10.45 11.05-11.50,29.04.2026
СС25-3,Панфилова О.Л.,1.2,БД.02 Литература,125,12.15-13.00 13.15-14.00,29.04.2026
СС25-3,Коробова Ю.А.,1.2,ПОО.01 Основы проектной деятельности,245,14.10-14.55 15.05-15.50,29.04.2026
ТОд23-1,Бурундуков Е.В.,1.2,ОП.16 Основы законодательства в сфере дорожного движения,139,8.00-8.45 8.55-9.40,29.04.2026
ТОд23-1,Проломова Е.Н.,1.2,ОГСЭ.03 Иностранный язык в профессиональной деятельности,239,10.00-10.45 11.05-11.50,29.04.2026
ТОд23-1,Проломова Е.Н.,1.2,ОГСЭ.03 Иностранный язык в профессиональной деятельности,239,12.15-13.00 13.15-14.00,29.04.2026
Э25-6,Богданов М.В.,1.2,БД.11 Химия,203,10.00-10.45 11.05-11.50,29.04.2026
Э25-6,Пуртова А.В.,1.2,БД.03 История,240,12.15-13.00 13.15-14.00,29.04.2026
Э25-6,Богданов М.В.,1.2,БД.11 Химия,203,14.10-14.55 15.05-15.50,29.04.2026
ЭСХ23-4,Кузнецов Н.В.,1.2,МДК.02.04 Организация производства и управление на сельскохозяйственном предприятии,202,8.00-8.45 8.55-9.40,29.04.2026
ЭСХ23-4,Кузнецов Н.В.,1.2,МДК.02.04 Организация производства и управление на сельскохозяйственном предприятии,202,10.00-10.45 11.05-11.50,29.04.2026
ЭСХ23-4,Кузнецов Н.В.,1.2,МДК.02.04 Организация производства и управление на сельскохозяйственном предприятии,202,12.15-13.00 13.15-14.00,29.04.2026
ЭСХ23-4,Абакумов А.В.,1.2,МДК.02.05 Выполнение сварочных работ,139,14.10-14.55 15.05-15.50,29.04.2026
ЭСХ25-5,Азиатцев Е.С.,1,"УП.01.01 Учебная практика ""Эксплуатация сельскохозяйственной техники и оборудования""",№15 гараж,10.00-10.45 11.05-11.50,29.04.2026
ЭСХ25-5,Азиатцев Е.С.,2,"УП.01.01 Учебная практика ""Эксплуатация сельскохозяйственной техники и оборудования""",№15 гараж,10.00-10.45 11.05-11.50,29.04.2026
ЭСХ25-5,Азиатцев Е.С.,1,"УП.01.01 Учебная практика ""Эксплуатация сельскохозяйственной техники и оборудования""",№15 гараж,12.15-13.00 13.15-14.00,29.04.2026
ЭСХ25-5,Азиатцев Е.С.,2,"УП.01.01 Учебная практика ""Эксплуатация сельскохозяйственной техники и оборудования""",№15 гараж,12.15-13.00 13.15-14.00,29.04.2026
ЭСХ25-5,Азиатцев Е.С.,1,"УП.01.01 Учебная практика ""Эксплуатация сельскохозяйственной техники и оборудования""",№15 гараж,14.10-14.55 15.05-15.50,29.04.2026
ЭСХ25-5,Азиатцев Е.С.,2,"УП.01.01 Учебная практика ""Эксплуатация сельскохозяйственной техники и оборудования""",№15 гараж,14.10-14.55 15.05-15.50,29.04.2026
2367,Вострецова Н.В.,1.2,ОПЦ.08 Безопасность жизнедеятельности,112,8.00-8.45 8.55-9.40,29.04.2026
2367,Волчихин К.А.,1.2,ОПЦ.09 Физическая культура,с/з,10.00-10.45 11.05-11.50,29.04.2026
2367,Начметдинов Р.О.,1.2,ОПЦ.11 Основы предпринимательской деятельности,121,12.15-13.00 13.15-14.00,29.04.2026
2367,Улыбина Н.Г.,1.2,"МДК.04.02 Процессы приготовления, подготовки к реализации горячих и холодных сладких блюд, десертов, напитков",121,14.10-14.55 15.05-15.50,29.04.2026
2472,Вахрамеева С.Н.,1.2,ОДП.12 Физика,206,10.00-10.45 11.05-11.50,29.04.2026
2472,Карпова А.В.,1.2,ОДБ.07 Информатика,250,12.15-13.00 13.15-14.00,29.04.2026
2472,Карпова А.В.,1.2,ОДБ.07 Информатика,250,14.10-14.55 15.05-15.50,29.04.2026
2473,Азиатцев Е.С.,1.2,"МДК.02.02 Выполение работ по профессии ""Тракторист-машинист сельскохозяйственного производства B, C, D, E ,F""",122,8.00-8.45 8.55-9.40,29.04.2026
2473,Пилипук Г.А.,1,"УП.02.01 Учебная практика ""Выполнение механизированных работ в сельскохозяйственном производстве с поддержанием технического состояния средств механизации""",гараж,10.00-10.45 11.05-11.50,29.04.2026
2473,Пилипук Г.А.,2,"УП.02.01 Учебная практика ""Выполнение механизированных работ в сельскохозяйственном производстве с поддержанием технического состояния средств механизации""",гараж,10.00-10.45 11.05-11.50,29.04.2026
2473,Пилипук Г.А.,1,"УП.02.01 Учебная практика ""Выполнение механизированных работ в сельскохозяйственном производстве с поддержанием технического состояния средств механизации""",гараж,12.15-13.00 13.15-14.00,29.04.2026
2473,Пилипук Г.А.,2,"УП.02.01 Учебная практика ""Выполнение механизированных работ в сельскохозяйственном производстве с поддержанием технического состояния средств механизации""",гараж,12.15-13.00 13.15-14.00,29.04.2026
2473,Пилипук Г.А.,1,"УП.02.01 Учебная практика ""Выполнение механизированных работ в сельскохозяйственном производстве с поддержанием технического состояния средств механизации""",гараж,14.10-14.55 15.05-15.50,29.04.2026
2473,Пилипук Г.А.,2,"УП.02.01 Учебная практика ""Выполнение механизированных работ в сельскохозяйственном производстве с поддержанием технического состояния средств механизации""",гараж,14.10-14.55 15.05-15.50,29.04.2026
2474,Панфилова О.Л.,1.2,ОДБ.02 Литература,ЭО,8.00-8.45 8.55-9.40,29.04.2026
2474,Косичкин Т.В.,1,"УП.03.01 Учебная практика ""Частично механизированная сварка (наплавка) плавлением различных деталей""",ЭО,10.00-10.45 11.05-11.50,29.04.2026
2474,Косичкин Т.В.,2,"УП.03.01 Учебная практика ""Частично механизированная сварка (наплавка) плавлением различных деталей""",ЭО,10.00-10.45 11.05-11.50,29.04.2026
2474,Косичкин Т.В.,1,"УП.03.01 Учебная практика ""Частично механизированная сварка (наплавка) плавлением различных деталей""",ЭО,12.15-13.00 13.15-14.00,29.04.2026
2474,Косичкин Т.В.,2,"УП.03.01 Учебная практика ""Частично механизированная сварка (наплавка) плавлением различных деталей""",ЭО,12.15-13.00 13.15-14.00,29.04.2026
2474,Косичкин Т.В.,1,"УП.03.01 Учебная практика ""Частично механизированная сварка (наплавка) плавлением различных деталей""",ЭО,14.10-14.55 15.05-15.50,29.04.2026
2474,Косичкин Т.В.,2,"УП.03.01 Учебная практика ""Частично механизированная сварка (наплавка) плавлением различных деталей""",ЭО,14.10-14.55 15.05-15.50,29.04.2026
2475,Машер В.В.,1.2,"УП.02.01 Учебная практика ""Настройка и обеспечение работоспособности программных и аппаратных средств устройств инфокоммуникационных систем""",207,8.00-8.45 8.55-9.40,29.04.2026
2475,Машер В.В.,1.2,"УП.02.01 Учебная практика ""Настройка и обеспечение работоспособности программных и аппаратных средств устройств инфокоммуникационных систем""",207,10.00-10.45 11.05-11.50,29.04.2026
2475,Машер В.В.,1.2,"УП.02.01 Учебная практика ""Настройка и обеспечение работоспособности программных и аппаратных средств устройств инфокоммуникационных систем""",207,12.15-13.00 13.15-14.00,29.04.2026
2475,Машер В.В.,1.2,МДК.02.02 Настройка и сопровождение программного обеспечения сетевых устройств инфокоммуникационных систем,207,14.10-14.55 15.05-15.50,29.04.2026
2476,Пилипук В.А.,1.2,МДК.03.02 Ремонт автомобилей,117,8.00-8.45 8.55-9.40,29.04.2026
2476,Пилипук В.А.,1.2,МДК.03.02 Ремонт автомобилей,117,10.00-10.45 11.05-11.50,29.04.2026
2476,Григораш А.В.,1.2,ОДБ.05 География,150,12.15-13.00 13.15-14.00,29.04.2026
2476,Пилипук В.А.,1.2,МДК.03.02 Ремонт автомобилей,117,14.10-14.55 15.05-15.50,29.04.2026
2577,Вахрамеева С.Н.,1.2,ОДП.12 Физика,206,8.00-8.45 8.55-9.40,29.04.2026
2577,Шмелёва А.В.,1.2,ОДП.11 Математика,240,10.00-10.45 11.05-11.50,29.04.2026
2577,Вахрамеева С.Н.,1.2,ОДП.12 Физика,206,12.15-13.00 13.15-14.00,29.04.2026
2577,Седякина Д.Ю.,1.2,ОДБ.06 Иностранный язык,240,14.10-14.55 15.05-15.50,29.04.2026
2578,Шмелёва А.В.,1.2,ОДП.11 Математика,240,8.00-8.45 8.55-9.40,29.04.2026
2578,Начметдинов Р.О.,1.2,ПОО.01 Основы проектной деятельности,139,10.00-10.45 11.05-11.50,29.04.2026
2578,Богданов М.В.,1.2,ОДБ.09 Химия,203,12.15-13.00 13.15-14.00,29.04.2026
2578,Вострецова Н.В.,1.2,ОП.03 Экологические основы природопользования,112,14.10-14.55 15.05-15.50,29.04.2026
2579,Косичкин Т.В.,1.2,МДК.01.02 Технология производства сварных конструкций,105,8.00-8.45 8.55-9.40,29.04.2026
2579,Тропина Н.Ю.,1.2,ОДБ.01 Русский язык,247,10.00-10.45 11.05-11.50,29.04.2026
2579,Мухар О. А.,1.2,ОДП.12 Информатика,209,12.15-13.00 13.15-14.00,29.04.2026
2579,Ефимов А.Н.,1.2,ОП.04 Допуски и технические измерения,,14.10-14.55 15.05-15.50,29.04.2026
2580,Деньгуб А.А.,1.2,ОДП.11 Математика,135,8.00-8.45 8.55-9.40,29.04.2026
2580,Деньгуб А.А.,1.2,ОДП.11 Математика,135,10.00-10.45 11.05-11.50,29.04.2026
2580,Пилипук В.А.,1.2,МДК.01.03 Предпродажная подготовка автотранспортных средств,117,12.15-13.00 13.15-14.00,29.04.2026
2580,Вахрамеева С.Н.,1.2,ОДП.13 Физика,206,14.10-14.55 15.05-15.50,29.04.2026
2581,Богданов М.В.,1.2,ОДБ.10 Химия,203,8.00-8.45 8.55-9.40,29.04.2026
2581,Бурундуков Е.В.,1.2,ОДП.13 Биология,122,10.00-10.45 11.05-11.50,29.04.2026
2581,Шмелёва А.В.,1.2,ОДП.11 Математика,247,12.15-13.00 13.15-14.00,29.04.2026
2581,Кузнецов Н.В.,1.2,ОП.03 Техническая механика с основами технических измерений,202,14.10-14.55 15.05-15.50,29.04.2026
2582,Улыбина Н.Г.,1,"УП.01.01 Учебная практика ""Приготовление и подготовка к реализации полуфабрикатов для блюд, кулинарных изделий разнообразного ассортимента""",118,8.00-8.45 8.55-9.40,29.04.2026
2582,Бакланова Е.В.,2,"УП.01.01 Учебная практика ""Приготовление и подготовка к реализации полуфабрикатов для блюд, кулинарных изделий разнообразного ассортимента""",лабор,8.00-8.45 8.55-9.40,29.04.2026
2582,Улыбина Н.Г.,1,"УП.01.01 Учебная практика ""Приготовление и подготовка к реализации полуфабрикатов для блюд, кулинарных изделий разнообразного ассортимента""",118,10.00-10.45 11.05-11.50,29.04.2026
2582,Бакланова Е.В.,2,"УП.01.01 Учебная практика ""Приготовление и подготовка к реализации полуфабрикатов для блюд, кулинарных изделий разнообразного ассортимента""",лабор,10.00-10.45 11.05-11.50,29.04.2026
2582,Улыбина Н.Г.,1,"УП.01.01 Учебная практика ""Приготовление и подготовка к реализации полуфабрикатов для блюд, кулинарных изделий разнообразного ассортимента""",118,12.15-13.00 13.15-14.00,29.04.2026
2582,Бакланова Е.В.,2,"УП.01.01 Учебная практика ""Приготовление и подготовка к реализации полуфабрикатов для блюд, кулинарных изделий разнообразного ассортимента""",лабор,12.15-13.00 13.15-14.00,29.04.2026
2582,Начметдинов Р.О.,1.2,"МДК.01.02 Процессы приготовления, подготовки к реализации кулинарных полуфабрикатов",125,14.10-14.55 15.05-15.50,29.04.2026
2583,Зылёва Я.Ф.,1,"УП.01.01 Учебная практика ""Документирование управленческой деятельности и организация работы с документами""",ЭО,8.00-8.45 8.55-9.40,29.04.2026
2583,Зылёва Я.Ф.,2,"УП.01.01 Учебная практика ""Документирование управленческой деятельности и организация работы с документами""",ЭО,8.00-8.45 8.55-9.40,29.04.2026
2583,Зылёва Я.Ф.,1,"УП.01.01 Учебная практика ""Документирование управленческой деятельности и организация работы с документами""",ЭО,10.00-10.45 11.05-11.50,29.04.2026
2583,Зылёва Я.Ф.,2,"УП.01.01 Учебная практика ""Документирование управленческой деятельности и организация работы с документами""",ЭО,10.00-10.45 11.05-11.50,29.04.2026
2583,Зылёва Я.Ф.,1,"УП.01.01 Учебная практика ""Документирование управленческой деятельности и организация работы с документами""",ЭО,12.15-13.00 13.15-14.00,29.04.2026
2583,Зылёва Я.Ф.,2,"УП.01.01 Учебная практика ""Документирование управленческой деятельности и организация работы с документами""",ЭО,12.15-13.00 13.15-14.00,29.04.2026
2583,Мухар О. А.,1.2,ОДП.02 Информатика,ЭО,14.10-14.55 15.05-15.50,29.04.2026
А24-1,Пуртова А.В.,1.2,БД.03 История,240,8.00-8.45 8.55-9.40,30.04.2026
А24-1,Коробова Ю.А.,1.2,МДК.01.04 Управление структурным подразделением сельскохозяйственной организации,239,10.00-10.45 11.05-11.50,30.04.2026
А24-1,Бакланова Е.В.,1.2,МДК.01.03 Селекционная и семеноводческая работа в отрасли растениеводства,122,12.15-13.00 13.15-14.00,30.04.2026
А24-1,Коробова Ю.А.,1.2,МДК.01.04 Управление структурным подразделением сельскохозяйственной организации,247,14.10-14.55 15.05-15.50,30.04.2026
Д24-5,Зылёва Я.Ф.,1,"УП.01.01 Учебная практика ""Осуществление организационного и документационного обеспечения деятельности организации""",136,8.00-8.45 8.55-9.40,30.04.2026
Д24-5,Зылёва Я.Ф.,2,"УП.01.01 Учебная практика ""Осуществление организационного и документационного обеспечения деятельности организации""",136,8.00-8.45 8.55-9.40,30.04.2026
Д24-5,Зылёва Я.Ф.,1,"УП.01.01 Учебная практика ""Осуществление организационного и документационного обеспечения деятельности организации""",136,10.00-10.45 11.05-11.50,30.04.2026
Д24-5,Зылёва Я.Ф.,2,"УП.01.01 Учебная практика ""Осуществление организационного и документационного обеспечения деятельности организации""",136,10.00-10.45 11.05-11.50,30.04.2026
Д24-5,Зылёва Я.Ф.,1,"УП.01.01 Учебная практика ""Осуществление организационного и документационного обеспечения деятельности организации""",136,12.15-13.00 13.15-14.00,30.04.2026
Д24-5,Зылёва Я.Ф.,2,"УП.01.01 Учебная практика ""Осуществление организационного и документационного обеспечения деятельности организации""",136,12.15-13.00 13.15-14.00,30.04.2026
Д24-5,Зылёва Я.Ф.,1.2,МДК.01.01 Документационное обеспечение управления,136,14.10-14.55 15.05-15.50,30.04.2026
ДО22-5,Бабкина М.В.,1.2,ПДП ПРОИЗВОДСТВЕННАЯ ПРАКТИКА (ПРЕДДИПЛОМНАЯ),,8.00-8.45 8.55-9.40,30.04.2026
ДО22-5,Бабкина М.В.,1.2,ПДП ПРОИЗВОДСТВЕННАЯ ПРАКТИКА (ПРЕДДИПЛОМНАЯ),,10.00-10.45 11.05-11.50,30.04.2026
ДО22-5,Бабкина М.В.,1.2,ПДП ПРОИЗВОДСТВЕННАЯ ПРАКТИКА (ПРЕДДИПЛОМНАЯ),,12.15-13.00 13.15-14.00,30.04.2026
ДО24-6,Бурундуков Е.В.,1.2,ПД.13 Биология,122,8.00-8.45 8.55-9.40,30.04.2026
ДО24-6,Седякина Д.Ю.,1.2,СГ.02 Иностранный язык в профессиональной деятельности,122,10.00-10.45 11.05-11.50,30.04.2026
ДО24-6,Седякина Д.Ю.,1.2,СГ.02 Иностранный язык в профессиональной деятельности,125,12.15-13.00 13.15-14.00,30.04.2026
ПКД22-3,Улыбина Н.Г.,1.2,ПДП ПРОИЗВОДСТВЕННАЯ ПРАКТИКА (ПРЕДДИПЛОМНАЯ),,8.00-8.45 8.55-9.40,30.04.2026
ПКД22-3,Улыбина Н.Г.,1.2,ПДП ПРОИЗВОДСТВЕННАЯ ПРАКТИКА (ПРЕДДИПЛОМНАЯ),,10.00-10.45 11.05-11.50,30.04.2026
ПКД22-3,Улыбина Н.Г.,1.2,ПДП ПРОИЗВОДСТВЕННАЯ ПРАКТИКА (ПРЕДДИПЛОМНАЯ),,12.15-13.00 13.15-14.00,30.04.2026
ПКД24-4,Григораш А.В.,1.2,ПД.13 Биология,150,8.00-8.45 8.55-9.40,30.04.2026
ПКД24-4,Полякова М.В.,1.2,БД.03 История,250а,10.00-10.45 11.05-11.50,30.04.2026
